Sample	verifybamid-FREEMIX	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	qualimap_bamqc-avg_gc	qualimap_bamqc-median_insert_size	qualimap_bamqc-1_x_pc	qualimap_bamqc-5_x_pc	qualimap_bamqc-10_x_pc	qualimap_bamqc-30_x_pc	qualimap_bamqc-50_x_pc	qualimap_bamqc-median_coverage	mosdepth-1_x_pc	mosdepth-5_x_pc	mosdepth-10_x_pc	mosdepth-30_x_pc	mosdepth-50_x_pc	mosdepth-median_coverage	mosdepth-mean_coverage	mosdepth-min_coverage	mosdepth-max_coverage	mosdepth-coverage_bases	mosdepth-length	custom_content_alignstats_gs-InsertSizeMean	custom_content_alignstats_gs-InsertSizeMedian	custom_content_alignstats_gs-InsertSizeMode	custom_content_alignstats_gs-InsertSizeStandardDeviation	custom_content_alignstats_gs-DuplicateReadsPct	custom_content_alignstats_gs-ChimericReadPairPct	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	fastqc-percent_duplicates-1	fastqc-percent_gc-1	fastqc-avg_sequence_length-1	fastqc-median_sequence_length-1	fastqc-percent_fails-1	fastqc-total_sequences-1	bcftools_stats-number_of_records	bcftools_stats-number_of_SNPs	bcftools_stats-number_of_indels	bcftools_stats-tstv	bcftools_stats-number_of_MNPs	bcftools_stats-number_of_multiallelic_sites	bcftools_stats-number_of_multiallelic_SNP_sites	bcftools_stats-number_of_records-1	bcftools_stats-number_of_SNPs-1	bcftools_stats-number_of_indels-1	bcftools_stats-tstv-1	bcftools_stats-number_of_MNPs-1	bcftools_stats-number_of_multiallelic_sites-1	bcftools_stats-number_of_multiallelic_SNP_sites-1	qualimap_bamqc-mean_coverage	qualimap_bamqc-general_error_rate	qualimap_bamqc-percentage_aligned	qualimap_bamqc-mapped_reads	qualimap_bamqc-total_reads
RIH0_ANA0-HG002_DBC0_0													40.308492580627494	563	1.1154212578758753	0.0022836377059009877	0.0007139855821320021	7.461476760815618e-05	2.3387681156901528e-05	0																																																
RIH0_ANA0-HG002_DBC0_0.R1																																						0.22160817730271276	39.0	148.0	148	0.0	0.124927	0.22160817730271276	39.0	148.0	148	0.0	0.124927																			
RIH0_ANA0-HG002_DBC0_0.R2																																						0.17923174559280142	39.0	148.0	148	0.0	0.124927	0.17923174559280142	39.0	148.0	148	0.0	0.124927																			
RIH0_ANA0-HG002_DBC0_0.strobe	0.0	0.6156946	0.06883199999999999	0.24756899999999998	99.08546591209266	95.87919344897419	3.931095759923796	0.249854	648.8	0.31868599999999997	0.316088	99.18	40.308492580627494	563	1.1154212578758753	0.0022836377059009877	0.0007139855821320021	7.461476760815618e-05	2.3387681156901528e-05	0	1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	288.0	35.712415	3088286401	562.016901	564.0	546.0	162.118667	0.016965	2.917662																															
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr1																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	51.0	3.011685	248956422																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr10																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	9.0	1.632915	133797422																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr11																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	3.0	1.579261	135086622																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr12																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	3.0	1.6107449999999999	133275309																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr13																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	14.0	1.278878	114364328																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr14																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	3.0	1.0651629999999999	107043718																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr15																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	3.0	0.954843	101991189																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr16																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	30.0	1.001429	90338345																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr17																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	16.0	0.933542	83257441																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr18																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	8.0	0.946206	80373285																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr19																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	3.0	0.599507	58617616																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr2																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	13.0	2.896172	242193529																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr20																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	25.0	0.7369899999999999	64444167																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr21																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	40.0	0.480438	46709983																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr22																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	9.0	0.404647	50818468																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr3																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	288.0	2.469395	198295559																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr4																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	65.0	2.40191	190214555																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr5																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	27.0	2.182051	181538259																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr6																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	4.0	2.057914	170805979																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr7																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	3.0	1.8593009999999999	159345973																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr8																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	7.0	1.722392	145138636																																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr9																					1.0	0.0	0.0	0.0	0.0	0	0.01	0.0	11.0	1.383945	138394717																																					
RIH0_ANA0-HG002_DBC0_0.strobe.mrkdup.sort																																																																0.0117	0.62	99.08546591209266	0.24756899999999998	0.249854
RIH0_ANA0-HG002_DBC0_0.strobe.sentd.snv.sort																																																		221	116	105	0.92	0	3	1	221	116	105	0.92	0	3	1					
RIH0_ANA0-HG002_DBC0_0.strobe.st		0.6156946	0.06883199999999999	0.24756899999999998	99.08546591209266	95.87919344897419	3.931095759923796	0.249854	648.8	0.31868599999999997	0.316088	99.18																																																								
